program_name,duration_weeks,price,max_class_size,full_time,format,school_id,school_name
Web Development Bootcamp,9,7600,20,TRUE,In Person,1,CodeCore Bootcamp
Fundamentals,4,750,20,FALSE,In Person,1,CodeCore Bootcamp
Ruby on Rails for Programmers,1,1100,nil,FALSE,In Person,2,Anyone Can Learn to Code
Testing Rails,1,1100,nil,FALSE,In Person,2,Anyone Can Learn to Code
Rails Web Development Course,36,4999,nil,FALSE,In Person,3,Bloc
Frontend Web Development,36,4999,nil,FALSE,In Person,3,Bloc
UX/UI Design,36,4999,nil,FALSE,In Person,3,Bloc
Android Development,36,4999,nil,FALSE,In Person,3,Bloc
iOS Development,36,4999,nil,FALSE,In Person,3,Bloc
Computer Science & Web Development Bootcamp,4,5000,nil,TRUE,In Person,4,Code Fellows
Full-Stack JavaScript Development Accelerator,8,10000,nil,TRUE,In Person,4,Code Fellows
Unix & Git for Everyone,nil,250,nil,FALSE,In Person,4,Code Fellows
Foundations I: Computer Science & Web Development,4,500,nil,FALSE,In Person,4,Code Fellows
Foundations II: iOS Development,4,1500,nil,FALSE,In Person,4,Code Fellows
Python Development Accelerator,8,10000,nil,TRUE,In Person,4,Code Fellows
Foundations II: Ruby,4,1500,nil,FALSE,In Person,4,Code Fellows
Foundations II: JavaScript,4,1500,nil,FALSE,In Person,4,Code Fellows
iOS Development Accelerator,8,10000,nil,TRUE,In Person,4,Code Fellows
Front-End Development Accelerator,8,10000,nil,TRUE,In Person,4,Code Fellows
Ruby on Rails Development Accelerator,8,10000,nil,TRUE,In Person,4,Code Fellows
Foundations II: Python,4,1500,nil,FALSE,In Person,4,Code Fellows
18 Week Immersive UX/UI Design Program,18,9800,12,TRUE,Hybrid,5,Designation
Onsite Bootcamp,14,12500,nil,TRUE,Hybrid,6,Coding Dojo
Remote Bootcamp,14,7500,nil,TRUE,Online,6,Coding Dojo
Remote Bootcamp,14,11500,nil,TRUE,Hybrid,6,Coding Dojo
Dev Accelerators,4,5000,nil,TRUE,In Person,6,Coding Dojo
Introduction to Web Development,4,250,nil,FALSE,Hybrid,7,Coding Camp
Django Web Development,12,9700,nil,TRUE,Hybrid,7,Coding Camp
Angular Web Development,16,7100,nil,FALSE,Hybrid,7,Coding Camp
iOS Mobile Development,12,5900,nil,FALSE,Hybrid,7,Coding Camp
Dev Bootcamp,19,13950,nil,TRUE,Hybrid,8,Dev Bootcamp
FullStack Full-time,13,15680,nil,TRUE,In Person,9,Fullstack Academy
FullStack Flex Programs,24,15680,nil,FALSE,In Person,9,Fullstack Academy
Product Management Immersive,10,10500,nil,TRUE,In Person,10,General Assembly
User Experience Design Immersive,10,9500,nil,TRUE,In Person,10,General Assembly
