program_name,duration_weeks,price,max_class_size,full_time?,format,school_id,school_name
Web Development Bootcamp,9,7600,20,TRUE,In Person,1,CodeCore Bootcamp
Fundamentals,4,750,20,FALSE,In Person,1,CodeCore Bootcamp
Ruby on Rails for Programmers,1,1100,,TRUE,In Person,2,Anyone Can Learn to Code
Testing Rails,1,1100,,TRUE,In Person,2,Anyone Can Learn to Code
Rails Web Development Course,36,4999,1:01,TRUE,In Person,3,Bloc
Frontend Web Development,36,4999,1:01,TRUE,In Person,3,Bloc
UX/UI Design,36,4999,1:01,TRUE,In Person,3,Bloc
Android Development,36,4999,1:01,TRUE,In Person,3,Bloc
iOS Development,36,4999,1:01,TRUE,In Person,3,Bloc
Computer Science & Web Development Bootcamp,4,"5,000",,TRUE,In Person,4,Code Fellows
Full-Stack JavaScript Development Accelerator,8,"10,000",,TRUE,In Person,4,Code Fellows
Foundations I: Computer Science & Web Development,4,500,,FALSE,In Person,4,Code Fellows
Foundations II: iOS Development,4,"1,500",,FALSE,In Person,4,Code Fellows
Python Development Accelerator,8,"10,000",,TRUE,In Person,4,Code Fellows
Foundations II: Ruby,4,"1,500",,FALSE,In Person,4,Code Fellows
Foundations II: JavaScript,4,"1,500",,FALSE,In Person,4,Code Fellows
iOS Development Accelerator,8,"10,000",,TRUE,In Person,4,Code Fellows
Front-End Development Accelerator,8,"10,000",,TRUE,In Person,4,Code Fellows
Ruby on Rails Development Accelerator,8,"10,000",,TRUE,In Person,4,Code Fellows
Foundations II: Python,4,1500,,FALSE,In Person,4,Code Fellows
